,index,LA,action,,,,,,
47,48,0.256,Keep the current maintenance,,,,,,
48,49,0.273,Keep the current maintenance,,,,,,
49,50,0.024,Keep the current maintenance,,,,,,
50,51,0.425,Keep the current maintenance,,,,,,
51,52,0.405,Keep the current maintenance,,,,,,
52,53,0.273,Keep the current maintenance,,,,,,
53,54,0.338,Keep the current maintenance,,,,,,
54,55,0.035,Keep the current maintenance,,,,,,
55,56,0.039,Keep the current maintenance,,,,,,
56,57,0.34,Keep the current maintenance,,,,,,
57,58,0.015,Keep the current maintenance,,,,,,
58,59,0.001,Keep the current maintenance,,,,,,
59,60,0.016,Keep the current maintenance,,,,,,
60,61,0.118,Keep the current maintenance,,,,,,
61,62,0.013,Keep the current maintenance,,,,,,
62,63,0.348,Keep the current maintenance,,,,,,
63,64,0.013,Keep the current maintenance,,,,,,
64,65,0.069,Keep the current maintenance,,,,,,
65,66,0.052,Keep the current maintenance,,,,,,
66,67,0.041,Keep the current maintenance,,,,,,
67,68,0.018,Keep the current maintenance,,,,,,
68,69,0.061,Keep the current maintenance,,,,,,
69,70,0.318,Keep the current maintenance,,,,,,
70,71,0.034,Keep the current maintenance,,,,,,
71,72,0.019,Keep the current maintenance,,,,,,
72,73,0.278,Keep the current maintenance,,,,,,
73,74,0.12,Keep the current maintenance,,,,,,
74,75,0.065,Keep the current maintenance,,,,,,
75,76,0.054,Keep the current maintenance,,,,,,
76,77,0.194,Keep the current maintenance,,,,,,
77,78,0.291,Keep the current maintenance,,,,,,
78,79,0.034,Keep the current maintenance,,,,,,
79,80,0.044,Keep the current maintenance,,,,,,
80,81,0.043,Keep the current maintenance,,,,,,
81,82,0.331,Keep the current maintenance,,,,,,
82,83,0.252,Keep the current maintenance,,,,,,
83,84,0.359,Keep the current maintenance,,,,,,
84,85,0.045,Keep the current maintenance,,,,,,
85,86,0.055,Keep the current maintenance,,,,,,
86,87,0.011,Keep the current maintenance,,,,,,
87,88,0.021,Keep the current maintenance,,,,,,
88,89,0.159,Keep the current maintenance,,,,,,
89,90,0.007,Keep the current maintenance,,,,,,
90,91,0.338,Keep the current maintenance,,,,,,
91,92,0.346,Keep the current maintenance,,,,,,
92,93,0.34,Keep the current maintenance,,,,,,
93,94,0.241,Keep the current maintenance,,,,,,
94,95,0.034,Keep the current maintenance,,,,,,
95,96,0.013,Keep the current maintenance,,,,,,
96,97,0.367,Keep the current maintenance,,,,,,
97,98,0.244,Keep the current maintenance,,,,,,
98,99,0.011,Keep the current maintenance,,,,,,
99,100,0.383,Keep the current maintenance,,,,,,
100,101,0.33,Keep the current maintenance,,,,,,
101,102,0.065,Keep the current maintenance,,,,,,
102,103,0.058,Keep the current maintenance,,,,,,
103,104,0.193,Keep the current maintenance,,,,,,
104,105,0.344,Keep the current maintenance,,,,,,
105,106,0.046,Keep the current maintenance,,,,,,
106,107,0.292,Keep the current maintenance,,,,,,
107,108,0.379,Keep the current maintenance,,,,,,
108,109,0.033,Keep the current maintenance,,,,,,
109,110,0.246,Keep the current maintenance,,,,,,
110,111,0.031,Keep the current maintenance,,,,,,
111,112,0.466,Keep the current maintenance,,,,,,
112,113,0.365,Keep the current maintenance,,,,,,
113,114,0.353,Keep the current maintenance,,,,,,
114,115,0.319,Keep the current maintenance,,,,,,
115,116,0.12,Keep the current maintenance,,,,,,
116,117,0.347,Keep the current maintenance,,,,,,
117,118,0.379,Keep the current maintenance,,,,,,
118,119,0.37,Keep the current maintenance,,,,,,
119,120,0.082,Keep the current maintenance,,,,,,
120,121,0.031,Keep the current maintenance,,,,,,
121,122,0.362,Keep the current maintenance,,,,,,
122,123,0.343,Keep the current maintenance,,,,,,
123,124,0.338,Keep the current maintenance,,,,,,
124,125,0.016,Keep the current maintenance,,,,,,
125,126,0.242,Keep the current maintenance,,,,,,
126,127,0.244,Keep the current maintenance,,,,,,
127,128,0.368,Keep the current maintenance,,,,,,
128,129,0.31,Keep the current maintenance,,,,,,
129,130,0.041,Keep the current maintenance,,,,,,
130,131,0.064,Keep the current maintenance,,,,,,
131,132,0.012,Keep the current maintenance,,,,,,
132,133,0.003,Keep the current maintenance,,,,,,
133,134,0.354,Keep the current maintenance,,,,,,
134,135,0.051,Keep the current maintenance,,,,,,
135,136,0.03,Keep the current maintenance,,,,,,
136,137,0.026,Keep the current maintenance,,,,,,
137,138,0.013,Keep the current maintenance,,,,,,
138,139,0.08,Keep the current maintenance,,,,,,
139,140,0.314,Keep the current maintenance,,,,,,
140,141,0.29,Keep the current maintenance,,,,,,
141,142,0.02,Keep the current maintenance,,,,,,
142,143,0.308,Keep the current maintenance,,,,,,
143,144,0.034,Keep the current maintenance,,,,,,
144,145,0.264,Keep the current maintenance,,,,,,
145,146,0.245,Keep the current maintenance,,,,,,
146,147,0.316,Keep the current maintenance,,,,,,
147,148,0.026,Keep the current maintenance,,,,,,
148,149,0.03,Keep the current maintenance,,,,,,
149,150,0.353,Keep the current maintenance,,,,,,
150,151,0.24,Keep the current maintenance,,,,,,
151,152,0.015,Keep the current maintenance,,,,,,
152,153,0.331,Keep the current maintenance,,,,,,
153,154,0.032,Keep the current maintenance,,,,,,
154,155,0.362,Keep the current maintenance,,,,,,
155,156,0.062,Keep the current maintenance,,,,,,
156,157,0.119,Keep the current maintenance,,,,,,
157,158,0.024,Keep the current maintenance,,,,,,
158,159,0.337,Keep the current maintenance,,,,,,
159,160,0.032,Keep the current maintenance,,,,,,
160,161,0.028,Keep the current maintenance,,,,,,
161,162,0.012,Keep the current maintenance,,,,,,
162,163,0.301,Keep the current maintenance,,,,,,
163,164,0.072,Keep the current maintenance,,,,,,
164,165,0.01,Keep the current maintenance,,,,,,
165,166,0.327,Keep the current maintenance,,,,,,
166,167,0.248,Keep the current maintenance,,,,,,
167,168,0.043,Keep the current maintenance,,,,,,
168,169,0.36,Keep the current maintenance,,,,,,
169,170,0.304,Keep the current maintenance,,,,,,
170,171,0.037,Keep the current maintenance,,,,,,
171,172,0.03,Keep the current maintenance,,,,,,
172,173,0.036,Keep the current maintenance,,,,,,
173,174,0.06,Keep the current maintenance,,,,,,
174,175,0.044,Keep the current maintenance,,,,,,
175,176,0.039,Keep the current maintenance,,,,,,
176,177,0.053,Keep the current maintenance,,,,,,
177,178,0.38,Keep the current maintenance,,,,,,
178,179,0.371,Keep the current maintenance,,,,,,
179,180,0.37,Keep the current maintenance,,,,,,
180,181,0.004,Keep the current maintenance,,,,,,
181,182,0.027,Keep the current maintenance,,,,,,
182,183,0.01,Keep the current maintenance,,,,,,
183,184,0.063,Keep the current maintenance,,,,,,
184,185,0.042,Keep the current maintenance,,,,,,
185,186,0.037,Keep the current maintenance,,,,,,
186,187,0.23,Keep the current maintenance,,,,,,
187,188,0.047,Keep the current maintenance,,,,,,
188,189,0.242,Keep the current maintenance,,,,,,
189,190,0.029,Keep the current maintenance,,,,,,
190,191,0.049,Keep the current maintenance,,,,,,
191,192,0.35,Keep the current maintenance,,,,,,
192,193,0.032,Keep the current maintenance,,,,,,
193,194,0.051,Keep the current maintenance,,,,,,
194,195,0.034,Keep the current maintenance,,,,,,
195,196,0.078,Keep the current maintenance,,,,,,
196,197,0.04,Keep the current maintenance,,,,,,
197,198,0.335,Keep the current maintenance,,,,,,
198,199,0.038,Keep the current maintenance,,,,,,
199,200,0.008,Keep the current maintenance,,,,,,
200,201,0.07,Keep the current maintenance,,,,,,
201,202,0.396,Keep the current maintenance,,,,,,
202,203,0.041,Keep the current maintenance,,,,,,
203,204,0.016,Keep the current maintenance,,,,,,
204,205,0.232,Keep the current maintenance,,,,,,
205,206,0.336,Keep the current maintenance,,,,,,
206,207,0.329,Keep the current maintenance,,,,,,
207,208,0.386,Keep the current maintenance,,,,,,
208,209,0.058,Keep the current maintenance,,,,,,
209,210,0.253,Keep the current maintenance,,,,,,
210,211,0.336,Keep the current maintenance,,,,,,
211,212,0.295,Keep the current maintenance,,,,,,
212,213,0.404,Keep the current maintenance,,,,,,
213,214,0.051,Keep the current maintenance,,,,,,
214,215,0.022,Keep the current maintenance,,,,,,
215,216,0.035,Keep the current maintenance,,,,,,
216,217,0.052,Keep the current maintenance,,,,,,
217,218,0.299,Keep the current maintenance,,,,,,
218,219,0.01,Keep the current maintenance,,,,,,
219,220,0.061,Keep the current maintenance,,,,,,
220,221,0.069,Keep the current maintenance,,,,,,
221,222,0.029,Keep the current maintenance,,,,,,
222,223,0.408,Keep the current maintenance,,,,,,
223,224,0.366,Keep the current maintenance,,,,,,
224,225,0.034,Keep the current maintenance,,,,,,
225,226,0.013,Keep the current maintenance,,,,,,
226,227,0.066,Keep the current maintenance,,,,,,
227,228,0.015,Keep the current maintenance,,,,,,
228,229,0.029,Keep the current maintenance,,,,,,
229,230,0.028,Keep the current maintenance,,,,,,
230,231,0.348,Keep the current maintenance,,,,,,
231,232,0.381,Keep the current maintenance,,,,,,
232,233,0.012,Keep the current maintenance,,,,,,
233,234,0.004,Keep the current maintenance,,,,,,
234,235,0.308,Keep the current maintenance,,,,,,
235,236,0.322,Keep the current maintenance,,,,,,
236,237,0.051,Keep the current maintenance,,,,,,
237,238,0.035,Keep the current maintenance,,,,,,
238,239,0.044,Keep the current maintenance,,,,,,
239,240,0.019,Keep the current maintenance,,,,,,
240,241,0.288,Keep the current maintenance,,,,,,
241,242,0.016,Keep the current maintenance,,,,,,
242,243,0.011,Keep the current maintenance,,,,,,
243,244,0.042,Keep the current maintenance,,,,,,
244,245,0.24,Keep the current maintenance,,,,,,
245,246,0.029,Keep the current maintenance,,,,,,
246,247,0.063,Keep the current maintenance,,,,,,
247,248,0.376,Keep the current maintenance,,,,,,
248,249,0.317,Keep the current maintenance,,,,,,
249,250,0.057,Keep the current maintenance,,,,,,
250,251,0.04,Keep the current maintenance,,,,,,
251,252,0.02,Keep the current maintenance,,,,,,
252,253,0.023,Keep the current maintenance,,,,,,
253,254,0.375,Keep the current maintenance,,,,,,
254,255,0.118,Keep the current maintenance,,,,,,
255,256,0.254,Keep the current maintenance,,,,,,
256,257,0.044,Keep the current maintenance,,,,,,
257,258,0.282,Keep the current maintenance,,,,,,
258,259,0.305,Keep the current maintenance,,,,,,
259,260,0.031,Keep the current maintenance,,,,,,
260,261,0.019,Keep the current maintenance,,,,,,
261,262,0.013,Keep the current maintenance,,,,,,
262,263,0.01,Keep the current maintenance,,,,,,
263,264,0.272,Keep the current maintenance,,,,,,
264,265,0.049,Keep the current maintenance,,,,,,
265,266,0.075,Keep the current maintenance,,,,,,
266,267,0.06,Keep the current maintenance,,,,,,
267,268,0.267,Keep the current maintenance,,,,,,
268,269,0.04,Keep the current maintenance,,,,,,
269,270,0.073,Keep the current maintenance,,,,,,
270,271,0.241,Keep the current maintenance,,,,,,
271,272,0.267,Keep the current maintenance,,,,,,
272,273,0.028,Keep the current maintenance,,,,,,
273,274,0.031,Keep the current maintenance,,,,,,
274,275,0.011,Keep the current maintenance,,,,,,
275,276,0.234,Keep the current maintenance,,,,,,
276,277,0.018,Keep the current maintenance,,,,,,
277,278,0.29,Keep the current maintenance,,,,,,
278,279,0.263,Keep the current maintenance,,,,,,
279,280,0.03,Keep the current maintenance,,,,,,
280,281,0.296,Keep the current maintenance,,,,,,
281,282,0.068,Keep the current maintenance,,,,,,
282,283,0.009,Keep the current maintenance,,,,,,
283,284,0.242,Keep the current maintenance,,,,,,
284,285,0.287,Keep the current maintenance,,,,,,
285,286,0.314,Keep the current maintenance,,,,,,
286,287,0.009,Keep the current maintenance,,,,,,
287,288,0.117,Keep the current maintenance,,,,,,
288,289,0.012,Keep the current maintenance,,,,,,
289,290,0.361,Keep the current maintenance,,,,,,
290,291,0.352,Keep the current maintenance,,,,,,
291,292,0.009,Keep the current maintenance,,,,,,
292,293,0.337,Keep the current maintenance,,,,,,
293,294,0.028,Keep the current maintenance,,,,,,
294,295,0.028,Keep the current maintenance,,,,,,
295,296,0.012,Keep the current maintenance,,,,,,
296,297,0.038,Keep the current maintenance,,,,,,
297,298,0.008,Keep the current maintenance,,,,,,
298,299,0.027,Keep the current maintenance,,,,,,
299,300,0.308,Keep the current maintenance,,,,,,
300,301,0.273,Keep the current maintenance,,,,,,
301,302,0.009,Keep the current maintenance,,,,,,
302,303,0.051,Keep the current maintenance,,,,,,
303,304,0.029,Keep the current maintenance,,,,,,
304,305,0.079,Keep the current maintenance,,,,,,
305,306,0.299,Keep the current maintenance,,,,,,
306,307,0.278,Keep the current maintenance,,,,,,
307,308,0.363,Keep the current maintenance,,,,,,
308,309,0.037,Keep the current maintenance,,,,,,
309,310,0.023,Keep the current maintenance,,,,,,
310,311,0.067,Keep the current maintenance,,,,,,
311,312,0.013,Keep the current maintenance,,,,,,
312,313,0.011,Keep the current maintenance,,,,,,
313,314,0.259,Keep the current maintenance,,,,,,
314,315,0.073,Keep the current maintenance,,,,,,
315,316,0.236,Keep the current maintenance,,,,,,
316,317,0.026,Keep the current maintenance,,,,,,
317,318,0.355,Keep the current maintenance,,,,,,
318,319,0.06,Keep the current maintenance,,,,,,
319,320,0.059,Keep the current maintenance,,,,,,
320,321,0.327,Keep the current maintenance,,,,,,
321,322,0.035,Keep the current maintenance,,,,,,
322,323,0.018,Keep the current maintenance,,,,,,
323,324,0.043,Keep the current maintenance,,,,,,
324,325,0.008,Keep the current maintenance,,,,,,
325,326,0.034,Keep the current maintenance,,,,,,
326,327,0.072,Keep the current maintenance,,,,,,
327,328,0.019,Keep the current maintenance,,,,,,
328,329,0.015,Keep the current maintenance,,,,,,
329,330,0.073,Keep the current maintenance,,,,,,
330,331,0.034,Keep the current maintenance,,,,,,
331,332,0.066,Keep the current maintenance,,,,,,
332,333,0.35,Keep the current maintenance,,,,,,
333,334,0.468,Keep the current maintenance,,,,,,
334,335,0,Replacement,,,,,,
335,336,0.34,Keep the current maintenance,,,,,,
336,337,0.022,Keep the current maintenance,,,,,,
337,338,0.047,Keep the current maintenance,,,,,,
338,339,0.478,Keep the current maintenance,,,,,,
339,340,0.022,Keep the current maintenance,,,,,,
340,341,0.028,Keep the current maintenance,,,,,,
341,342,0.315,Keep the current maintenance,,,,,,
342,343,0.378,Keep the current maintenance,,,,,,
343,344,0.235,Keep the current maintenance,,,,,,
344,345,0.026,Keep the current maintenance,,,,,,
345,346,0.018,Keep the current maintenance,,,,,,
346,347,0.032,Keep the current maintenance,,,,,,
347,348,0.254,Keep the current maintenance,,,,,,
348,349,0.27,Keep the current maintenance,,,,,,
349,350,0.017,Keep the current maintenance,,,,,,
350,351,0.011,Keep the current maintenance,,,,,,
351,352,0.061,Keep the current maintenance,,,,,,
352,353,0.043,Keep the current maintenance,,,,,,
353,354,0.044,Keep the current maintenance,,,,,,
354,355,0.403,Keep the current maintenance,,,,,,
355,356,0.033,Keep the current maintenance,,,,,,
356,357,0.013,Keep the current maintenance,,,,,,
357,358,0.283,Keep the current maintenance,,,,,,
358,359,0.012,Keep the current maintenance,,,,,,
359,360,0.012,Keep the current maintenance,,,,,,
360,361,0.028,Keep the current maintenance,,,,,,
361,362,0.239,Keep the current maintenance,,,,,,
362,363,0.008,Keep the current maintenance,,,,,,
363,364,0.253,Keep the current maintenance,,,,,,
364,365,0.298,Keep the current maintenance,,,,,,
365,366,0.158,Keep the current maintenance,,,,,,
366,367,0.245,Keep the current maintenance,,,,,,
367,368,0.245,Keep the current maintenance,,,,,,
368,369,0.065,Keep the current maintenance,,,,,,
369,370,0.12,Keep the current maintenance,,,,,,
370,371,0.048,Keep the current maintenance,,,,,,
371,372,0.32,Keep the current maintenance,,,,,,
372,373,0.26,Keep the current maintenance,,,,,,
373,374,0.014,Keep the current maintenance,,,,,,
374,375,0.075,Keep the current maintenance,,,,,,
375,376,0.339,Keep the current maintenance,,,,,,
376,377,0.06,Keep the current maintenance,,,,,,
377,378,0.027,Keep the current maintenance,,,,,,
378,379,0.019,Keep the current maintenance,,,,,,
379,380,0.061,Keep the current maintenance,,,,,,
380,381,0.042,Keep the current maintenance,,,,,,
381,382,0.016,Keep the current maintenance,,,,,,
382,383,0.021,Keep the current maintenance,,,,,,
383,384,0.047,Keep the current maintenance,,,,,,
384,385,0.036,Keep the current maintenance,,,,,,
385,386,0.027,Keep the current maintenance,,,,,,
386,387,0.043,Keep the current maintenance,,,,,,
387,388,0.438,Keep the current maintenance,,,,,,
388,389,0.392,Keep the current maintenance,,,,,,
389,390,0.308,Keep the current maintenance,,,,,,
390,391,0.414,Keep the current maintenance,,,,,,
391,392,0.363,Keep the current maintenance,,,,,,
392,393,0.347,Keep the current maintenance,,,,,,
393,394,0.36,Keep the current maintenance,,,,,,
394,395,0.385,Keep the current maintenance,,,,,,
395,396,0.289,Keep the current maintenance,,,,,,
396,397,0.277,Keep the current maintenance,,,,,,
397,398,0.37,Keep the current maintenance,,,,,,
398,399,0.351,Keep the current maintenance,,,,,,
399,400,0.286,Keep the current maintenance,,,,,,
400,401,0.318,Keep the current maintenance,,,,,,
401,402,0.366,Keep the current maintenance,,,,,,
402,403,0.457,Keep the current maintenance,,,,,,
403,404,0.02,Keep the current maintenance,,,,,,
404,405,0.402,Keep the current maintenance,,,,,,
405,406,0.293,Keep the current maintenance,,,,,,
406,407,0.032,Keep the current maintenance,,,,,,
407,408,0.289,Keep the current maintenance,,,,,,
408,409,0.05,Keep the current maintenance,,,,,,
409,410,0.046,Keep the current maintenance,,,,,,
410,411,0.29,Keep the current maintenance,,,,,,
411,412,0.037,Keep the current maintenance,,,,,,
412,413,0.065,Keep the current maintenance,,,,,,
413,414,0.33,Keep the current maintenance,,,,,,
414,415,0.063,Keep the current maintenance,,,,,,
415,416,0.043,Keep the current maintenance,,,,,,
416,417,0.064,Keep the current maintenance,,,,,,
417,418,0.12,Keep the current maintenance,,,,,,
418,419,0.121,Keep the current maintenance,,,,,,
419,420,0.324,Keep the current maintenance,,,,,,
420,421,0.339,Keep the current maintenance,,,,,,
421,422,0.036,Keep the current maintenance,,,,,,
422,423,0.427,Keep the current maintenance,,,,,,
423,424,0.27,Keep the current maintenance,,,,,,
424,425,0.036,Keep the current maintenance,,,,,,
425,426,0.346,Keep the current maintenance,,,,,,
426,427,0.037,Keep the current maintenance,,,,,,
427,428,0.05,Keep the current maintenance,,,,,,
428,429,0.079,Keep the current maintenance,,,,,,
429,430,0,Keep the current maintenance,,,,,,
430,431,0.002,Keep the current maintenance,,,,,,
431,432,0.002,Keep the current maintenance,,,,,,
432,433,0.002,Keep the current maintenance,,,,,,
433,434,0,Keep the current maintenance,,,,,,
434,435,0.002,Keep the current maintenance,,,,,,
435,436,0.004,Keep the current maintenance,,,,,,
436,437,0.002,Keep the current maintenance,,,,,,
437,438,0.002,Keep the current maintenance,,,,,,
438,439,0.002,Keep the current maintenance,,,,,,
439,440,0,Keep the current maintenance,,,,,,
440,441,0,Keep the current maintenance,,,,,,
441,442,0.002,Keep the current maintenance,,,,,,
442,443,0,Keep the current maintenance,,,,,,
443,444,0.002,Keep the current maintenance,,,,,,
444,445,0.442,Keep the current maintenance,,,,,,
445,446,0.346,Keep the current maintenance,,,,,,
446,447,0.36,Keep the current maintenance,,,,,,
447,448,0.078,Keep the current maintenance,,,,,,
448,449,0.096,Keep the current maintenance,,,,,,
449,450,0.095,Keep the current maintenance,,,,,,
450,451,0,Replacement,,,,,,
451,452,0.403,Keep the current maintenance,,,,,,
452,453,0.493,Keep the current maintenance,,,,,,
453,454,0.431,Keep the current maintenance,,,,,,
