,AutoID_row_number,LA,action
148,149,0.13,Keep the current maintenance
149,150,0.128,Keep the current maintenance
150,151,0.07,Keep the current maintenance
151,152,0.295,Keep the current maintenance
152,153,0.298,Keep the current maintenance
153,154,0.067,Keep the current maintenance
154,155,0.206,Keep the current maintenance
155,156,0.131,Keep the current maintenance
156,157,0.064,Keep the current maintenance
157,158,0.065,Keep the current maintenance
158,159,0.129,Keep the current maintenance
159,160,0.067,Keep the current maintenance
160,161,0.285,Keep the current maintenance
161,162,0.073,Keep the current maintenance
162,163,0.073,Keep the current maintenance
163,164,0.068,Keep the current maintenance
164,165,0.068,Keep the current maintenance
165,166,0.07,Keep the current maintenance
166,167,0.07,Keep the current maintenance
167,168,0.152,Keep the current maintenance
168,169,0.128,Keep the current maintenance
169,170,0.036,Keep the current maintenance
170,171,0.072,Keep the current maintenance
171,172,0.064,Keep the current maintenance
172,173,0.067,Keep the current maintenance
173,174,0.07,Keep the current maintenance
174,175,0.069,Keep the current maintenance
175,176,0.068,Keep the current maintenance
176,177,0.071,Keep the current maintenance
177,178,0.07,Keep the current maintenance
178,179,0.04,Keep the current maintenance
179,180,0.041,Keep the current maintenance
180,181,0.041,Keep the current maintenance
181,182,0.107,Keep the current maintenance
182,183,0.066,Keep the current maintenance
183,184,0.064,Keep the current maintenance
184,185,0.063,Keep the current maintenance
185,186,0.076,Keep the current maintenance
186,187,0.074,Keep the current maintenance
187,188,0.065,Keep the current maintenance
188,189,0.064,Keep the current maintenance
189,190,0.064,Keep the current maintenance
190,191,0.13,Keep the current maintenance
191,192,0.212,Keep the current maintenance
192,193,0.135,Keep the current maintenance
193,194,0.062,Keep the current maintenance
194,195,0.087,Keep the current maintenance
195,196,0.108,Keep the current maintenance
196,197,0.036,Keep the current maintenance
197,198,0.037,Keep the current maintenance
198,199,0.064,Keep the current maintenance
199,200,0.065,Keep the current maintenance
200,201,0.065,Keep the current maintenance
201,202,0.066,Keep the current maintenance
202,203,0.066,Keep the current maintenance
203,204,0.067,Keep the current maintenance
204,205,0.069,Keep the current maintenance
205,206,0.069,Keep the current maintenance
206,207,0.065,Keep the current maintenance
207,208,0.065,Keep the current maintenance
208,209,0.069,Keep the current maintenance
209,210,0.134,Keep the current maintenance
210,211,0.134,Keep the current maintenance
211,212,0.07,Keep the current maintenance
212,213,0.07,Keep the current maintenance
213,214,0.066,Keep the current maintenance
214,215,0.066,Keep the current maintenance
215,216,0.069,Keep the current maintenance
216,217,0.13,Keep the current maintenance
217,218,0.13,Keep the current maintenance
218,219,0.069,Keep the current maintenance
219,220,0.07,Keep the current maintenance
220,221,0.07,Keep the current maintenance
221,222,0.063,Keep the current maintenance
222,223,0.071,Keep the current maintenance
223,224,0.24,Keep the current maintenance
224,225,0.24,Keep the current maintenance
225,226,0.243,Keep the current maintenance
226,227,0.24,Keep the current maintenance
227,228,0.0,Replacement
228,229,0.246,Keep the current maintenance
229,230,0.0,Replacement
230,231,0.0,Replacement
231,232,0.243,Keep the current maintenance
232,233,0.0,Replacement
233,234,0.479,Keep the current maintenance
234,235,0.245,Keep the current maintenance
235,236,0.274,Keep the current maintenance
236,237,0.48,Keep the current maintenance
237,238,0.25,Keep the current maintenance
238,239,0.245,Keep the current maintenance
239,240,0.241,Keep the current maintenance
240,241,0.24,Keep the current maintenance
241,242,0.24,Keep the current maintenance
242,243,0.458,Keep the current maintenance
243,244,0.379,Keep the current maintenance
244,245,0.379,Keep the current maintenance
245,246,0.379,Keep the current maintenance
246,247,0.249,Keep the current maintenance
247,248,0.248,Keep the current maintenance
248,249,0.304,Keep the current maintenance
249,250,0.306,Keep the current maintenance
250,251,0.241,Keep the current maintenance
251,252,0.0,Replacement
252,253,0.247,Keep the current maintenance
253,254,0.241,Keep the current maintenance
254,255,0.262,Keep the current maintenance
255,256,0.245,Keep the current maintenance
256,257,0.301,Keep the current maintenance
257,258,0.24,Keep the current maintenance
258,259,0.24,Keep the current maintenance
259,260,0.24,Keep the current maintenance
260,261,0.3,Keep the current maintenance
261,262,0.301,Keep the current maintenance
262,263,0.301,Keep the current maintenance
263,264,0.463,Keep the current maintenance
264,265,0.463,Keep the current maintenance
265,266,0.24,Keep the current maintenance
266,267,0.477,Keep the current maintenance
267,268,0.303,Keep the current maintenance
268,269,0.295,Keep the current maintenance
269,270,0.404,Keep the current maintenance
270,271,0.243,Keep the current maintenance
271,272,0.089,Keep the current maintenance
272,273,0.238,Keep the current maintenance
273,274,0.258,Keep the current maintenance
274,275,0.258,Keep the current maintenance
275,276,0.244,Keep the current maintenance
276,277,0.24,Keep the current maintenance
277,278,0.351,Keep the current maintenance
278,279,0.351,Keep the current maintenance
279,280,0.087,Keep the current maintenance
280,281,0.087,Keep the current maintenance
281,282,0.0,Replacement
282,283,0.117,Keep the current maintenance
283,284,0.302,Keep the current maintenance
284,285,0.241,Keep the current maintenance
285,286,0.241,Keep the current maintenance
286,287,0.241,Keep the current maintenance
287,288,0.234,Keep the current maintenance
288,289,0.242,Keep the current maintenance
289,290,0.275,Keep the current maintenance
290,291,0.241,Keep the current maintenance
291,292,0.344,Keep the current maintenance
292,293,0.342,Keep the current maintenance
293,294,0.345,Keep the current maintenance
294,295,0.345,Keep the current maintenance
295,296,0.349,Keep the current maintenance
296,297,0.345,Keep the current maintenance
297,298,0.345,Keep the current maintenance
298,299,0.349,Keep the current maintenance
299,300,0.367,Keep the current maintenance
300,301,0.394,Keep the current maintenance
301,302,0.39,Keep the current maintenance
302,303,0.39,Keep the current maintenance
303,304,0.374,Keep the current maintenance
304,305,0.406,Keep the current maintenance
305,306,0.377,Keep the current maintenance
306,307,0.361,Keep the current maintenance
307,308,0.361,Keep the current maintenance
308,309,0.348,Keep the current maintenance
309,310,0.352,Keep the current maintenance
310,311,0.352,Keep the current maintenance
311,312,0.077,Keep the current maintenance
312,313,0.211,Keep the current maintenance
313,314,0.355,Keep the current maintenance
314,315,0.167,Keep the current maintenance
315,316,0.167,Keep the current maintenance
316,317,0.376,Keep the current maintenance
317,318,0.078,Keep the current maintenance
318,319,0.23,Keep the current maintenance
319,320,0.374,Keep the current maintenance
320,321,0.379,Keep the current maintenance
321,322,0.379,Keep the current maintenance
322,323,0.393,Keep the current maintenance
323,324,0.42,Keep the current maintenance
324,325,0.42,Keep the current maintenance
325,326,0.449,Keep the current maintenance
326,327,0.374,Keep the current maintenance
327,328,0.45,Keep the current maintenance
328,329,0.384,Keep the current maintenance
329,330,0.375,Keep the current maintenance
330,331,0.452,Keep the current maintenance
331,332,0.385,Keep the current maintenance
332,333,0.376,Keep the current maintenance
333,334,0.376,Keep the current maintenance
334,335,0.38,Keep the current maintenance
335,336,0.387,Keep the current maintenance
336,337,0.381,Keep the current maintenance
337,338,0.373,Keep the current maintenance
338,339,0.448,Keep the current maintenance
339,340,0.433,Keep the current maintenance
340,341,0.42,Keep the current maintenance
341,342,0.42,Keep the current maintenance
342,343,0.418,Keep the current maintenance
343,344,0.488,Keep the current maintenance
344,345,0.489,Keep the current maintenance
345,346,0.489,Keep the current maintenance
346,347,0.432,Keep the current maintenance
347,348,0.405,Keep the current maintenance
348,349,0.432,Keep the current maintenance
349,350,0.433,Keep the current maintenance
350,351,0.434,Keep the current maintenance
351,352,0.434,Keep the current maintenance
352,353,0.037,Keep the current maintenance
353,354,0.023,Keep the current maintenance
354,355,0.019,Keep the current maintenance
355,356,0.018,Keep the current maintenance
356,357,0.018,Keep the current maintenance
357,358,0.017,Keep the current maintenance
358,359,0.038,Keep the current maintenance
359,360,0.038,Keep the current maintenance
360,361,0.006,Keep the current maintenance
361,362,0.007,Keep the current maintenance
362,363,0.016,Keep the current maintenance
363,364,0.016,Keep the current maintenance
364,365,0.016,Keep the current maintenance
365,366,0.017,Keep the current maintenance
366,367,0.016,Keep the current maintenance
367,368,0.008,Keep the current maintenance
368,369,0.016,Keep the current maintenance
369,370,0.078,Keep the current maintenance
370,371,0.017,Keep the current maintenance
371,372,0.017,Keep the current maintenance
372,373,0.017,Keep the current maintenance
373,374,0.017,Keep the current maintenance
374,375,0.074,Keep the current maintenance
375,376,0.074,Keep the current maintenance
376,377,0.065,Keep the current maintenance
377,378,0.065,Keep the current maintenance
378,379,0.017,Keep the current maintenance
379,380,0.016,Keep the current maintenance
380,381,0.016,Keep the current maintenance
381,382,0.164,Keep the current maintenance
382,383,0.062,Keep the current maintenance
383,384,0.062,Keep the current maintenance
384,385,0.017,Keep the current maintenance
385,386,0.018,Keep the current maintenance
386,387,0.026,Keep the current maintenance
387,388,0.02,Keep the current maintenance
388,389,0.02,Keep the current maintenance
389,390,0.012,Keep the current maintenance
390,391,0.012,Keep the current maintenance
391,392,0.012,Keep the current maintenance
392,393,0.025,Keep the current maintenance
393,394,0.025,Keep the current maintenance
394,395,0.025,Keep the current maintenance
395,396,0.025,Keep the current maintenance
396,397,0.019,Keep the current maintenance
397,398,0.019,Keep the current maintenance
398,399,0.019,Keep the current maintenance
399,400,0.019,Keep the current maintenance
400,401,0.081,Keep the current maintenance
401,402,0.081,Keep the current maintenance
402,403,0.029,Keep the current maintenance
403,404,0.015,Keep the current maintenance
404,405,0.02,Keep the current maintenance
405,406,0.02,Keep the current maintenance
406,407,0.026,Keep the current maintenance
407,408,0.074,Keep the current maintenance
408,409,0.027,Keep the current maintenance
409,410,0.027,Keep the current maintenance
410,411,0.045,Keep the current maintenance
411,412,0.045,Keep the current maintenance
412,413,0.318,Keep the current maintenance
413,414,0.022,Keep the current maintenance
414,415,0.079,Keep the current maintenance
415,416,0.079,Keep the current maintenance
416,417,0.023,Keep the current maintenance
417,418,0.028,Keep the current maintenance
418,419,0.028,Keep the current maintenance
419,420,0.074,Keep the current maintenance
420,421,0.074,Keep the current maintenance
421,422,0.022,Keep the current maintenance
422,423,0.022,Keep the current maintenance
423,424,0.319,Keep the current maintenance
424,425,0.319,Keep the current maintenance
425,426,0.028,Keep the current maintenance
426,427,0.028,Keep the current maintenance
427,428,0.028,Keep the current maintenance
428,429,0.028,Keep the current maintenance
429,430,0.028,Keep the current maintenance
430,431,0.028,Keep the current maintenance
431,432,0.028,Keep the current maintenance
432,433,0.028,Keep the current maintenance
433,434,0.023,Keep the current maintenance
434,435,0.028,Keep the current maintenance
435,436,0.023,Keep the current maintenance
436,437,0.023,Keep the current maintenance
437,438,0.024,Keep the current maintenance
438,439,0.079,Keep the current maintenance
439,440,0.079,Keep the current maintenance
440,441,0.029,Keep the current maintenance
441,442,0.029,Keep the current maintenance
442,443,0.024,Keep the current maintenance
443,444,0.323,Keep the current maintenance
444,445,0.323,Keep the current maintenance
445,446,0.024,Keep the current maintenance
446,447,0.082,Keep the current maintenance
447,448,0.079,Keep the current maintenance
448,449,0.031,Keep the current maintenance
449,450,0.029,Keep the current maintenance
450,451,0.024,Keep the current maintenance
451,452,0.024,Keep the current maintenance
452,453,0.024,Keep the current maintenance
453,454,0.075,Keep the current maintenance
454,455,0.075,Keep the current maintenance
455,456,0.025,Keep the current maintenance
456,457,0.025,Keep the current maintenance
457,458,0.025,Keep the current maintenance
458,459,0.03,Keep the current maintenance
459,460,0.024,Keep the current maintenance
460,461,0.024,Keep the current maintenance
461,462,0.026,Keep the current maintenance
462,463,0.03,Keep the current maintenance
463,464,0.026,Keep the current maintenance
464,465,0.025,Keep the current maintenance
465,466,0.026,Keep the current maintenance
466,467,0.03,Keep the current maintenance
467,468,0.025,Keep the current maintenance
468,469,0.025,Keep the current maintenance
469,470,0.025,Keep the current maintenance
470,471,0.026,Keep the current maintenance
471,472,0.124,Keep the current maintenance
472,473,0.297,Keep the current maintenance
473,474,0.297,Keep the current maintenance
474,475,0.077,Keep the current maintenance
475,476,0.252,Keep the current maintenance
476,477,0.032,Keep the current maintenance
477,478,0.028,Keep the current maintenance
478,479,0.032,Keep the current maintenance
479,480,0.031,Keep the current maintenance
480,481,0.027,Keep the current maintenance
481,482,0.027,Keep the current maintenance
482,483,0.031,Keep the current maintenance
483,484,0.032,Keep the current maintenance
484,485,0.032,Keep the current maintenance
485,486,0.032,Keep the current maintenance
486,487,0.268,Keep the current maintenance
487,488,0.268,Keep the current maintenance
488,489,0.027,Keep the current maintenance
489,490,0.032,Keep the current maintenance
490,491,0.032,Keep the current maintenance
491,492,0.032,Keep the current maintenance
492,493,0.032,Keep the current maintenance
493,494,0.032,Keep the current maintenance
494,495,0.032,Keep the current maintenance
495,496,0.032,Keep the current maintenance
496,497,0.032,Keep the current maintenance
497,498,0.028,Keep the current maintenance
498,499,0.094,Keep the current maintenance
499,500,0.094,Keep the current maintenance
500,501,0.333,Keep the current maintenance
501,502,0.333,Keep the current maintenance
502,503,0.333,Keep the current maintenance
503,504,0.329,Keep the current maintenance
504,505,0.329,Keep the current maintenance
505,506,0.33,Keep the current maintenance
506,507,0.33,Keep the current maintenance
507,508,0.33,Keep the current maintenance
508,509,0.034,Keep the current maintenance
509,510,0.034,Keep the current maintenance
510,511,0.034,Keep the current maintenance
511,512,0.034,Keep the current maintenance
512,513,0.082,Keep the current maintenance
513,514,0.034,Keep the current maintenance
514,515,0.034,Keep the current maintenance
515,516,0.331,Keep the current maintenance
516,517,0.331,Keep the current maintenance
517,518,0.035,Keep the current maintenance
518,519,0.035,Keep the current maintenance
519,520,0.035,Keep the current maintenance
520,521,0.332,Keep the current maintenance
521,522,0.332,Keep the current maintenance
522,523,0.035,Keep the current maintenance
523,524,0.035,Keep the current maintenance
524,525,0.035,Keep the current maintenance
525,526,0.08,Keep the current maintenance
526,527,0.08,Keep the current maintenance
527,528,0.08,Keep the current maintenance
528,529,0.333,Keep the current maintenance
529,530,0.333,Keep the current maintenance
530,531,0.333,Keep the current maintenance
531,532,0.333,Keep the current maintenance
532,533,0.219,Keep the current maintenance
533,534,0.232,Keep the current maintenance
534,535,0.036,Keep the current maintenance
535,536,0.036,Keep the current maintenance
536,537,0.036,Keep the current maintenance
537,538,0.036,Keep the current maintenance
538,539,0.036,Keep the current maintenance
539,540,0.036,Keep the current maintenance
540,541,0.338,Keep the current maintenance
541,542,0.338,Keep the current maintenance
542,543,0.338,Keep the current maintenance
543,544,0.338,Keep the current maintenance
544,545,0.338,Keep the current maintenance
545,546,0.338,Keep the current maintenance
546,547,0.338,Keep the current maintenance
547,548,0.345,Keep the current maintenance
548,549,0.339,Keep the current maintenance
549,550,0.339,Keep the current maintenance
550,551,0.339,Keep the current maintenance
551,552,0.34,Keep the current maintenance
552,553,0.34,Keep the current maintenance
553,554,0.34,Keep the current maintenance
554,555,0.34,Keep the current maintenance
555,556,0.34,Keep the current maintenance
556,557,0.34,Keep the current maintenance
