,index,LA,action,,,,,
108,109,0.015,Keep the current maintenance,,,,,
109,110,0.024,Keep the current maintenance,,,,,
110,111,0.004,Keep the current maintenance,,,,,
111,112,0.459,Keep the current maintenance,,,,,
112,113,0.006,Keep the current maintenance,,,,,
113,114,0.004,Keep the current maintenance,,,,,
114,115,0.015,Keep the current maintenance,,,,,
115,116,0.091,Keep the current maintenance,,,,,
116,117,0.004,Keep the current maintenance,,,,,
117,118,0.005,Keep the current maintenance,,,,,
118,119,0.013,Keep the current maintenance,,,,,
119,120,0.023,Keep the current maintenance,,,,,
120,121,0.042,Keep the current maintenance,,,,,
121,122,0.053,Keep the current maintenance,,,,,
122,123,0.005,Keep the current maintenance,,,,,
123,124,0.016,Keep the current maintenance,,,,,
124,125,0.024,Keep the current maintenance,,,,,
125,126,0.005,Keep the current maintenance,,,,,
126,127,0.021,Keep the current maintenance,,,,,
127,128,0.006,Keep the current maintenance,,,,,
128,129,0.004,Keep the current maintenance,,,,,
129,130,0.451,Keep the current maintenance,,,,,
130,131,0.009,Keep the current maintenance,,,,,
131,132,0.45,Keep the current maintenance,,,,,
132,133,0.005,Keep the current maintenance,,,,,
133,134,0.008,Keep the current maintenance,,,,,
134,135,0.005,Keep the current maintenance,,,,,
135,136,0.013,Keep the current maintenance,,,,,
136,137,0.005,Keep the current maintenance,,,,,
137,138,0.009,Keep the current maintenance,,,,,
138,139,0.004,Keep the current maintenance,,,,,
139,140,0.005,Keep the current maintenance,,,,,
140,141,0.006,Keep the current maintenance,,,,,
141,142,0.45,Keep the current maintenance,,,,,
142,143,0.013,Keep the current maintenance,,,,,
143,144,0.004,Keep the current maintenance,,,,,
144,145,0.005,Keep the current maintenance,,,,,
145,146,0.004,Keep the current maintenance,,,,,
146,147,0.005,Keep the current maintenance,,,,,
147,148,0.455,Keep the current maintenance,,,,,
148,149,0.031,Keep the current maintenance,,,,,
149,150,0.004,Keep the current maintenance,,,,,
150,151,0.453,Keep the current maintenance,,,,,
151,152,0.059,Keep the current maintenance,,,,,
152,153,0.013,Keep the current maintenance,,,,,
153,154,0.018,Keep the current maintenance,,,,,
154,155,0.452,Keep the current maintenance,,,,,
155,156,0.01,Keep the current maintenance,,,,,
156,157,0.005,Keep the current maintenance,,,,,
157,158,0.005,Keep the current maintenance,,,,,
158,159,0.089,Keep the current maintenance,,,,,
159,160,0.005,Keep the current maintenance,,,,,
160,161,0.011,Keep the current maintenance,,,,,
161,162,0.006,Keep the current maintenance,,,,,
162,163,0.459,Keep the current maintenance,,,,,
163,164,0,Keep the current maintenance,,,,,
164,165,0.014,Keep the current maintenance,,,,,
165,166,0.005,Keep the current maintenance,,,,,
166,167,0.009,Keep the current maintenance,,,,,
167,168,0.005,Keep the current maintenance,,,,,
168,169,0.004,Keep the current maintenance,,,,,
169,170,0.006,Keep the current maintenance,,,,,
170,171,0.017,Keep the current maintenance,,,,,
171,172,0.006,Keep the current maintenance,,,,,
172,173,0.036,Keep the current maintenance,,,,,
173,174,0.023,Keep the current maintenance,,,,,
174,175,0.006,Keep the current maintenance,,,,,
175,176,0.004,Keep the current maintenance,,,,,
176,177,0.016,Keep the current maintenance,,,,,
177,178,0.343,Keep the current maintenance,,,,,
178,179,0.006,Keep the current maintenance,,,,,
179,180,0.005,Keep the current maintenance,,,,,
180,181,0.02,Keep the current maintenance,,,,,
181,182,0.083,Keep the current maintenance,,,,,
182,183,0.008,Keep the current maintenance,,,,,
183,184,0.33,Keep the current maintenance,,,,,
184,185,0.004,Keep the current maintenance,,,,,
185,186,0.006,Keep the current maintenance,,,,,
186,187,0.009,Keep the current maintenance,,,,,
187,188,0.238,Keep the current maintenance,,,,,
188,189,0.348,Keep the current maintenance,,,,,
189,190,0.093,Keep the current maintenance,,,,,
