,index,LA,action,,,,
80,81,0.124,Keep the current maintenance,,,,
81,82,0.196,Keep the current maintenance,,,,
82,83,0.267,Keep the current maintenance,,,,
83,84,0.04,Keep the current maintenance,,,,
84,85,0.04,Keep the current maintenance,,,,
85,86,0.04,Keep the current maintenance,,,,
86,87,0.133,Keep the current maintenance,,,,
87,88,0.12,Keep the current maintenance,,,,
88,89,0.12,Keep the current maintenance,,,,
89,90,0.103,Keep the current maintenance,,,,
90,91,0.121,Keep the current maintenance,,,,
91,92,0.17,Keep the current maintenance,,,,
92,93,0.167,Keep the current maintenance,,,,
93,94,0.113,Keep the current maintenance,,,,
94,95,0.17,Keep the current maintenance,,,,
95,96,0.175,Keep the current maintenance,,,,
96,97,0.238,Keep the current maintenance,,,,
97,98,0.113,Keep the current maintenance,,,,
98,99,0.081,Keep the current maintenance,,,,
99,100,0.104,Keep the current maintenance,,,,
100,101,0.111,Keep the current maintenance,,,,
101,102,0.082,Keep the current maintenance,,,,
102,103,0.135,Keep the current maintenance,,,,
103,104,0.182,Keep the current maintenance,,,,
104,105,0.184,Keep the current maintenance,,,,
105,106,0.11,Keep the current maintenance,,,,
106,107,0.175,Keep the current maintenance,,,,
107,108,0.131,Keep the current maintenance,,,,
108,109,0.13,Keep the current maintenance,,,,
109,110,0.138,Keep the current maintenance,,,,
110,111,0.106,Keep the current maintenance,,,,
111,112,0.115,Keep the current maintenance,,,,
112,113,0.158,Keep the current maintenance,,,,
113,114,0.124,Keep the current maintenance,,,,
114,115,0.147,Keep the current maintenance,,,,
115,116,0.225,Keep the current maintenance,,,,
116,117,0.2,Keep the current maintenance,,,,
117,118,0.132,Keep the current maintenance,,,,
118,119,0.132,Keep the current maintenance,,,,
119,120,0.165,Keep the current maintenance,,,,
120,121,0.166,Keep the current maintenance,,,,
121,122,0.156,Keep the current maintenance,,,,
122,123,0.158,Keep the current maintenance,,,,
123,124,0.158,Keep the current maintenance,,,,
124,125,0.095,Keep the current maintenance,,,,
125,126,0.151,Keep the current maintenance,,,,
126,127,0.128,Keep the current maintenance,,,,
127,128,0.183,Keep the current maintenance,,,,
128,129,0.139,Keep the current maintenance,,,,
129,130,0.266,Keep the current maintenance,,,,
130,131,0.17,Keep the current maintenance,,,,
131,132,0.144,Keep the current maintenance,,,,
132,133,0.149,Keep the current maintenance,,,,
133,134,0.149,Keep the current maintenance,,,,
134,135,0.18,Keep the current maintenance,,,,
135,136,0.126,Keep the current maintenance,,,,
136,137,0.13,Keep the current maintenance,,,,
137,138,0.217,Keep the current maintenance,,,,
138,139,0.131,Keep the current maintenance,,,,
139,140,0.133,Keep the current maintenance,,,,
140,141,0.413,Keep the current maintenance,,,,
141,142,0.167,Keep the current maintenance,,,,
142,143,0.109,Keep the current maintenance,,,,
143,144,0.143,Keep the current maintenance,,,,
144,145,0.12,Keep the current maintenance,,,,
145,146,0.109,Keep the current maintenance,,,,
146,147,0.137,Keep the current maintenance,,,,
147,148,0.192,Keep the current maintenance,,,,
148,149,0.23,Keep the current maintenance,,,,
149,150,0.204,Keep the current maintenance,,,,
150,151,0.161,Keep the current maintenance,,,,
151,152,0.11,Keep the current maintenance,,,,
152,153,0.115,Keep the current maintenance,,,,
153,154,0.113,Keep the current maintenance,,,,
154,155,0.335,Keep the current maintenance,,,,
155,156,0.266,Keep the current maintenance,,,,
156,157,0.142,Keep the current maintenance,,,,
157,158,0.152,Keep the current maintenance,,,,
158,159,0.242,Keep the current maintenance,,,,
159,160,0.176,Keep the current maintenance,,,,
160,161,0.129,Keep the current maintenance,,,,
161,162,0.118,Keep the current maintenance,,,,
162,163,0.132,Keep the current maintenance,,,,
163,164,0.126,Keep the current maintenance,,,,
164,165,0.126,Keep the current maintenance,,,,
165,166,0.162,Keep the current maintenance,,,,
166,167,0.162,Keep the current maintenance,,,,
167,168,0.261,Keep the current maintenance,,,,
168,169,0.191,Keep the current maintenance,,,,
169,170,0.102,Keep the current maintenance,,,,
170,171,0.11,Keep the current maintenance,,,,
171,172,0.132,Keep the current maintenance,,,,
172,173,0.172,Keep the current maintenance,,,,
173,174,0.16,Keep the current maintenance,,,,
174,175,0.154,Keep the current maintenance,,,,
175,176,0.177,Keep the current maintenance,,,,
176,177,0.183,Keep the current maintenance,,,,
177,178,0.158,Keep the current maintenance,,,,
178,179,0.091,Keep the current maintenance,,,,
179,180,0.103,Keep the current maintenance,,,,
180,181,0.104,Keep the current maintenance,,,,
181,182,0.159,Keep the current maintenance,,,,
182,183,0.122,Keep the current maintenance,,,,
183,184,0.175,Keep the current maintenance,,,,
184,185,0.106,Keep the current maintenance,,,,
185,186,0.119,Keep the current maintenance,,,,
186,187,0.157,Keep the current maintenance,,,,
187,188,0.111,Keep the current maintenance,,,,
188,189,0.108,Keep the current maintenance,,,,
189,190,0.159,Keep the current maintenance,,,,
190,191,0.257,Keep the current maintenance,,,,
191,192,0.37,Keep the current maintenance,,,,
192,193,0.259,Keep the current maintenance,,,,
193,194,0.13,Keep the current maintenance,,,,
194,195,0.149,Keep the current maintenance,,,,
195,196,0.124,Keep the current maintenance,,,,
196,197,0.07,Keep the current maintenance,,,,
197,198,0.104,Keep the current maintenance,,,,
198,199,0.114,Keep the current maintenance,,,,
199,200,0.105,Keep the current maintenance,,,,
200,201,0.105,Keep the current maintenance,,,,
201,202,0.101,Keep the current maintenance,,,,
202,203,0.101,Keep the current maintenance,,,,
203,204,0.164,Keep the current maintenance,,,,
204,205,0.165,Keep the current maintenance,,,,
205,206,0.166,Keep the current maintenance,,,,
206,207,0.105,Keep the current maintenance,,,,
207,208,0.105,Keep the current maintenance,,,,
208,209,0.175,Keep the current maintenance,,,,
209,210,0.24,Keep the current maintenance,,,,
210,211,0.24,Keep the current maintenance,,,,
211,212,0.123,Keep the current maintenance,,,,
212,213,0.123,Keep the current maintenance,,,,
213,214,0.104,Keep the current maintenance,,,,
214,215,0.104,Keep the current maintenance,,,,
215,216,0.155,Keep the current maintenance,,,,
216,217,0.213,Keep the current maintenance,,,,
217,218,0.208,Keep the current maintenance,,,,
218,219,0.112,Keep the current maintenance,,,,
219,220,0.147,Keep the current maintenance,,,,
220,221,0.147,Keep the current maintenance,,,,
221,222,0.12,Keep the current maintenance,,,,
222,223,0.123,Keep the current maintenance,,,,
223,224,0.382,Keep the current maintenance,,,,
224,225,0.389,Keep the current maintenance,,,,
225,226,0.396,Keep the current maintenance,,,,
226,227,0.367,Keep the current maintenance,,,,
227,228,0.422,Keep the current maintenance,,,,
228,229,0.373,Keep the current maintenance,,,,
229,230,0.413,Keep the current maintenance,,,,
230,231,0.41,Keep the current maintenance,,,,
231,232,0.399,Keep the current maintenance,,,,
232,233,0.425,Keep the current maintenance,,,,
233,234,0.384,Keep the current maintenance,,,,
234,235,0.374,Keep the current maintenance,,,,
235,236,0.372,Keep the current maintenance,,,,
236,237,0.427,Keep the current maintenance,,,,
237,238,0.432,Keep the current maintenance,,,,
238,239,0.417,Keep the current maintenance,,,,
239,240,0.384,Keep the current maintenance,,,,
240,241,0.397,Keep the current maintenance,,,,
241,242,0.413,Keep the current maintenance,,,,
242,243,0.437,Keep the current maintenance,,,,
243,244,0,Replacement,,,,
244,245,0,Replacement,,,,
245,246,0,Replacement,,,,
246,247,0.399,Keep the current maintenance,,,,
247,248,0.393,Keep the current maintenance,,,,
248,249,0.496,Keep the current maintenance,,,,
249,250,0.492,Keep the current maintenance,,,,
250,251,0.371,Keep the current maintenance,,,,
251,252,0.439,Keep the current maintenance,,,,
252,253,0.399,Keep the current maintenance,,,,
253,254,0.389,Keep the current maintenance,,,,
254,255,0.399,Keep the current maintenance,,,,
255,256,0.422,Keep the current maintenance,,,,
256,257,0.459,Keep the current maintenance,,,,
257,258,0.365,Keep the current maintenance,,,,
258,259,0.373,Keep the current maintenance,,,,
259,260,0.372,Keep the current maintenance,,,,
260,261,0.454,Keep the current maintenance,,,,
261,262,0.457,Keep the current maintenance,,,,
262,263,0.459,Keep the current maintenance,,,,
263,264,0.4,Keep the current maintenance,,,,
264,265,0.374,Keep the current maintenance,,,,
265,266,0.367,Keep the current maintenance,,,,
266,267,0.386,Keep the current maintenance,,,,
267,268,0.374,Keep the current maintenance,,,,
268,269,0.418,Keep the current maintenance,,,,
269,270,0,Replacement,,,,
270,271,0.424,Keep the current maintenance,,,,
271,272,0.125,Keep the current maintenance,,,,
272,273,0.311,Keep the current maintenance,,,,
273,274,0.421,Keep the current maintenance,,,,
274,275,0.421,Keep the current maintenance,,,,
275,276,0.379,Keep the current maintenance,,,,
276,277,0.369,Keep the current maintenance,,,,
277,278,0,Replacement,,,,
278,279,0,Replacement,,,,
279,280,0.123,Keep the current maintenance,,,,
280,281,0.123,Keep the current maintenance,,,,
281,282,0,Replacement,,,,
282,283,0.164,Keep the current maintenance,,,,
283,284,0.389,Keep the current maintenance,,,,
284,285,0.394,Keep the current maintenance,,,,
285,286,0.382,Keep the current maintenance,,,,
286,287,0.376,Keep the current maintenance,,,,
287,288,0.364,Keep the current maintenance,,,,
288,289,0.388,Keep the current maintenance,,,,
289,290,0.443,Keep the current maintenance,,,,
290,291,0.379,Keep the current maintenance,,,,
291,292,0.035,Keep the current maintenance,,,,
292,293,0.064,Keep the current maintenance,,,,
293,294,0.06,Keep the current maintenance,,,,
294,295,0.066,Keep the current maintenance,,,,
295,296,0.107,Keep the current maintenance,,,,
296,297,0.023,Keep the current maintenance,,,,
297,298,0.024,Keep the current maintenance,,,,
298,299,0.101,Keep the current maintenance,,,,
299,300,0.014,Keep the current maintenance,,,,
300,301,0.01,Keep the current maintenance,,,,
301,302,0.043,Keep the current maintenance,,,,
302,303,0.006,Keep the current maintenance,,,,
303,304,0.01,Keep the current maintenance,,,,
304,305,0.009,Keep the current maintenance,,,,
305,306,0.013,Keep the current maintenance,,,,
306,307,0.107,Keep the current maintenance,,,,
307,308,0.016,Keep the current maintenance,,,,
308,309,0.038,Keep the current maintenance,,,,
309,310,0.038,Keep the current maintenance,,,,
310,311,0.041,Keep the current maintenance,,,,
311,312,0.124,Keep the current maintenance,,,,
312,313,0.36,Keep the current maintenance,,,,
313,314,0.089,Keep the current maintenance,,,,
314,315,0.266,Keep the current maintenance,,,,
315,316,0.265,Keep the current maintenance,,,,
316,317,0.101,Keep the current maintenance,,,,
317,318,0.107,Keep the current maintenance,,,,
318,319,0.41,Keep the current maintenance,,,,
319,320,0.107,Keep the current maintenance,,,,
320,321,0.108,Keep the current maintenance,,,,
321,322,0.12,Keep the current maintenance,,,,
322,323,0.035,Keep the current maintenance,,,,
323,324,0.039,Keep the current maintenance,,,,
324,325,0.039,Keep the current maintenance,,,,
325,326,0.119,Keep the current maintenance,,,,
326,327,0.111,Keep the current maintenance,,,,
327,328,0.119,Keep the current maintenance,,,,
328,329,0.063,Keep the current maintenance,,,,
329,330,0.064,Keep the current maintenance,,,,
330,331,0.119,Keep the current maintenance,,,,
331,332,0.063,Keep the current maintenance,,,,
332,333,0.112,Keep the current maintenance,,,,
333,334,0.111,Keep the current maintenance,,,,
334,335,0.094,Keep the current maintenance,,,,
335,336,0.101,Keep the current maintenance,,,,
336,337,0.095,Keep the current maintenance,,,,
337,338,0.034,Keep the current maintenance,,,,
338,339,0.033,Keep the current maintenance,,,,
339,340,0.031,Keep the current maintenance,,,,
340,341,0.029,Keep the current maintenance,,,,
341,342,0.028,Keep the current maintenance,,,,
342,343,0.01,Keep the current maintenance,,,,
343,344,0.009,Keep the current maintenance,,,,
344,345,0.009,Keep the current maintenance,,,,
345,346,0.009,Keep the current maintenance,,,,
346,347,0.01,Keep the current maintenance,,,,
347,348,0.014,Keep the current maintenance,,,,
348,349,0.013,Keep the current maintenance,,,,
349,350,0.013,Keep the current maintenance,,,,
350,351,0.013,Keep the current maintenance,,,,
351,352,0.013,Keep the current maintenance,,,,
352,353,0.138,Keep the current maintenance,,,,
353,354,0.156,Keep the current maintenance,,,,
354,355,0.097,Keep the current maintenance,,,,
355,356,0.095,Keep the current maintenance,,,,
356,357,0.093,Keep the current maintenance,,,,
357,358,0.09,Keep the current maintenance,,,,
358,359,0.136,Keep the current maintenance,,,,
359,360,0.136,Keep the current maintenance,,,,
360,361,0.09,Keep the current maintenance,,,,
361,362,0.102,Keep the current maintenance,,,,
362,363,0.106,Keep the current maintenance,,,,
363,364,0.085,Keep the current maintenance,,,,
364,365,0.087,Keep the current maintenance,,,,
365,366,0.119,Keep the current maintenance,,,,
366,367,0.095,Keep the current maintenance,,,,
367,368,0.093,Keep the current maintenance,,,,
368,369,0.093,Keep the current maintenance,,,,
369,370,0.224,Keep the current maintenance,,,,
370,371,0.126,Keep the current maintenance,,,,
371,372,0.129,Keep the current maintenance,,,,
372,373,0.126,Keep the current maintenance,,,,
373,374,0.125,Keep the current maintenance,,,,
374,375,0.199,Keep the current maintenance,,,,
375,376,0.199,Keep the current maintenance,,,,
376,377,0.108,Keep the current maintenance,,,,
377,378,0.108,Keep the current maintenance,,,,
378,379,0.126,Keep the current maintenance,,,,
379,380,0.06,Keep the current maintenance,,,,
380,381,0.06,Keep the current maintenance,,,,
381,382,0.277,Keep the current maintenance,,,,
382,383,0.118,Keep the current maintenance,,,,
383,384,0.118,Keep the current maintenance,,,,
384,385,0.147,Keep the current maintenance,,,,
385,386,0.141,Keep the current maintenance,,,,
386,387,0.064,Keep the current maintenance,,,,
387,388,0.062,Keep the current maintenance,,,,
388,389,0.062,Keep the current maintenance,,,,
389,390,0.186,Keep the current maintenance,,,,
390,391,0.12,Keep the current maintenance,,,,
391,392,0.133,Keep the current maintenance,,,,
392,393,0.132,Keep the current maintenance,,,,
393,394,0.131,Keep the current maintenance,,,,
394,395,0.13,Keep the current maintenance,,,,
395,396,0.139,Keep the current maintenance,,,,
396,397,0.054,Keep the current maintenance,,,,
397,398,0.138,Keep the current maintenance,,,,
398,399,0.137,Keep the current maintenance,,,,
399,400,0.135,Keep the current maintenance,,,,
400,401,0.131,Keep the current maintenance,,,,
401,402,0.132,Keep the current maintenance,,,,
402,403,0.149,Keep the current maintenance,,,,
403,404,0.098,Keep the current maintenance,,,,
404,405,0.184,Keep the current maintenance,,,,
405,406,0.212,Keep the current maintenance,,,,
406,407,0.146,Keep the current maintenance,,,,
407,408,0.17,Keep the current maintenance,,,,
408,409,0.101,Keep the current maintenance,,,,
409,410,0.098,Keep the current maintenance,,,,
410,411,0.094,Keep the current maintenance,,,,
411,412,0.087,Keep the current maintenance,,,,
412,413,0.067,Keep the current maintenance,,,,
413,414,0.075,Keep the current maintenance,,,,
414,415,0.14,Keep the current maintenance,,,,
415,416,0.14,Keep the current maintenance,,,,
416,417,0.049,Keep the current maintenance,,,,
417,418,0.053,Keep the current maintenance,,,,
418,419,0.053,Keep the current maintenance,,,,
419,420,0.15,Keep the current maintenance,,,,
420,421,0.144,Keep the current maintenance,,,,
421,422,0.069,Keep the current maintenance,,,,
422,423,0.069,Keep the current maintenance,,,,
423,424,0.168,Keep the current maintenance,,,,
424,425,0.194,Keep the current maintenance,,,,
425,426,0.172,Keep the current maintenance,,,,
426,427,0.17,Keep the current maintenance,,,,
427,428,0.134,Keep the current maintenance,,,,
428,429,0.134,Keep the current maintenance,,,,
429,430,0.122,Keep the current maintenance,,,,
430,431,0.128,Keep the current maintenance,,,,
431,432,0.128,Keep the current maintenance,,,,
432,433,0.128,Keep the current maintenance,,,,
433,434,0.135,Keep the current maintenance,,,,
434,435,0.106,Keep the current maintenance,,,,
435,436,0.127,Keep the current maintenance,,,,
436,437,0.086,Keep the current maintenance,,,,
437,438,0.076,Keep the current maintenance,,,,
438,439,0.129,Keep the current maintenance,,,,
439,440,0.129,Keep the current maintenance,,,,
440,441,0.146,Keep the current maintenance,,,,
441,442,0.144,Keep the current maintenance,,,,
442,443,0.094,Keep the current maintenance,,,,
443,444,0.077,Keep the current maintenance,,,,
444,445,0.075,Keep the current maintenance,,,,
445,446,0.089,Keep the current maintenance,,,,
446,447,0.25,Keep the current maintenance,,,,
447,448,0.217,Keep the current maintenance,,,,
448,449,0.07,Keep the current maintenance,,,,
449,450,0.083,Keep the current maintenance,,,,
450,451,0.099,Keep the current maintenance,,,,
451,452,0.095,Keep the current maintenance,,,,
452,453,0.095,Keep the current maintenance,,,,
453,454,0.245,Keep the current maintenance,,,,
454,455,0.244,Keep the current maintenance,,,,
455,456,0.109,Keep the current maintenance,,,,
456,457,0.116,Keep the current maintenance,,,,
457,458,0.11,Keep the current maintenance,,,,
458,459,0.099,Keep the current maintenance,,,,
459,460,0.132,Keep the current maintenance,,,,
460,461,0.135,Keep the current maintenance,,,,
461,462,0.07,Keep the current maintenance,,,,
462,463,0.064,Keep the current maintenance,,,,
463,464,0.068,Keep the current maintenance,,,,
464,465,0.373,Keep the current maintenance,,,,
465,466,0.373,Keep the current maintenance,,,,
466,467,0.15,Keep the current maintenance,,,,
467,468,0.389,Keep the current maintenance,,,,
468,469,0.402,Keep the current maintenance,,,,
469,470,0.387,Keep the current maintenance,,,,
470,471,0.382,Keep the current maintenance,,,,
471,472,0.206,Keep the current maintenance,,,,
472,473,0.234,Keep the current maintenance,,,,
473,474,0.231,Keep the current maintenance,,,,
474,475,0.133,Keep the current maintenance,,,,
475,476,0.117,Keep the current maintenance,,,,
476,477,0.088,Keep the current maintenance,,,,
477,478,0.103,Keep the current maintenance,,,,
478,479,0.088,Keep the current maintenance,,,,
479,480,0.148,Keep the current maintenance,,,,
480,481,0.135,Keep the current maintenance,,,,
481,482,0.138,Keep the current maintenance,,,,
482,483,0.113,Keep the current maintenance,,,,
483,484,0.168,Keep the current maintenance,,,,
484,485,0.168,Keep the current maintenance,,,,
485,486,0.169,Keep the current maintenance,,,,
486,487,0.143,Keep the current maintenance,,,,
487,488,0.142,Keep the current maintenance,,,,
488,489,0.077,Keep the current maintenance,,,,
489,490,0.07,Keep the current maintenance,,,,
490,491,0.214,Keep the current maintenance,,,,
491,492,0.126,Keep the current maintenance,,,,
492,493,0.126,Keep the current maintenance,,,,
493,494,0.127,Keep the current maintenance,,,,
494,495,0.074,Keep the current maintenance,,,,
495,496,0.074,Keep the current maintenance,,,,
496,497,0.082,Keep the current maintenance,,,,
497,498,0.094,Keep the current maintenance,,,,
498,499,0.076,Keep the current maintenance,,,,
499,500,0.076,Keep the current maintenance,,,,
500,501,0.06,Keep the current maintenance,,,,
501,502,0.028,Keep the current maintenance,,,,
502,503,0.027,Keep the current maintenance,,,,
503,504,0.129,Keep the current maintenance,,,,
504,505,0.13,Keep the current maintenance,,,,
505,506,0.05,Keep the current maintenance,,,,
506,507,0.056,Keep the current maintenance,,,,
507,508,0.056,Keep the current maintenance,,,,
508,509,0.056,Keep the current maintenance,,,,
509,510,0.056,Keep the current maintenance,,,,
510,511,0.103,Keep the current maintenance,,,,
511,512,0.104,Keep the current maintenance,,,,
512,513,0.175,Keep the current maintenance,,,,
513,514,0.056,Keep the current maintenance,,,,
514,515,0.055,Keep the current maintenance,,,,
515,516,0.065,Keep the current maintenance,,,,
516,517,0.067,Keep the current maintenance,,,,
517,518,0.117,Keep the current maintenance,,,,
518,519,0.117,Keep the current maintenance,,,,
519,520,0.043,Keep the current maintenance,,,,
520,521,0.033,Keep the current maintenance,,,,
521,522,0.032,Keep the current maintenance,,,,
522,523,0.064,Keep the current maintenance,,,,
523,524,0.065,Keep the current maintenance,,,,
524,525,0.425,Keep the current maintenance,,,,
525,526,0.163,Keep the current maintenance,,,,
526,527,0.164,Keep the current maintenance,,,,
527,528,0.163,Keep the current maintenance,,,,
528,529,0.052,Keep the current maintenance,,,,
529,530,0.053,Keep the current maintenance,,,,
530,531,0.043,Keep the current maintenance,,,,
531,532,0.043,Keep the current maintenance,,,,
532,533,0.173,Keep the current maintenance,,,,
533,534,0.173,Keep the current maintenance,,,,
534,535,0.168,Keep the current maintenance,,,,
535,536,0.166,Keep the current maintenance,,,,
536,537,0.167,Keep the current maintenance,,,,
537,538,0.154,Keep the current maintenance,,,,
538,539,0.155,Keep the current maintenance,,,,
539,540,0.154,Keep the current maintenance,,,,
540,541,0.15,Keep the current maintenance,,,,
541,542,0.15,Keep the current maintenance,,,,
542,543,0.101,Keep the current maintenance,,,,
543,544,0.1,Keep the current maintenance,,,,
544,545,0.096,Keep the current maintenance,,,,
545,546,0.13,Keep the current maintenance,,,,
546,547,0.13,Keep the current maintenance,,,,
547,548,0.095,Keep the current maintenance,,,,
548,549,0.057,Keep the current maintenance,,,,
549,550,0.053,Keep the current maintenance,,,,
550,551,0.165,Keep the current maintenance,,,,
551,552,0.109,Keep the current maintenance,,,,
552,553,0.108,Keep the current maintenance,,,,
553,554,0.08,Keep the current maintenance,,,,
554,555,0.08,Keep the current maintenance,,,,
555,556,0.057,Keep the current maintenance,,,,
556,557,0.057,Keep the current maintenance,,,,
